panel,param_name,param_val,blur_ksize,blur_sigma,diff_thresh,expand_radius,overlay_ratio,n_labels,fragment_ratio,color_purity,mean_label_size
1,blur_ksize,7,7,3.0,20.0,15,0.0068,3457,0.9965287821810819,2.706644978579526,0.0002872900145008607
1,blur_ksize,15,15,3.0,20.0,15,0.0142,3235,0.9959814528593508,1.8605985837301857,0.00030474212209036987
1,blur_ksize,21,21,3.0,20.0,15,0.0144,3233,0.9959789669038045,1.855869255588902,0.00030485887194241473
1,blur_sigma,1.5,15,1.5,20.0,15,0.0004,3796,0.9965753424657534,3.846789465813488,0.0002633232549967764
1,blur_sigma,3.0,15,3.0,20.0,15,0.0142,3235,0.9959814528593508,1.8605985837301857,0.00030474212209036987
1,blur_sigma,5.0,15,5.0,20.0,15,0.0199,3157,0.9961989230281914,1.4547448581602322,0.00031046323983013755
1,diff_thresh,10.0,15,3.0,10.0,15,0.0296,3050,0.9960655737704918,1.1111192671472088,0.0003181640383878157
1,diff_thresh,20.0,15,3.0,20.0,15,0.0142,3235,0.9959814528593508,1.8605985837301857,0.00030474212209036987
1,diff_thresh,30.0,15,3.0,30.0,15,0.004,3606,0.9963948973932335,3.2168609853999044,0.00027620718379629903
1,expand_radius,8,15,3.0,20.0,8,0.0153,3192,0.9959273182957393,1.4936881773897854,0.0003084980232818802
1,expand_radius,15,15,3.0,20.0,15,0.0142,3235,0.9959814528593508,1.8605985837301857,0.00030474212209036987
1,expand_radius,25,15,3.0,20.0,25,0.0061,3586,0.9958170663692136,3.1998615119605778,0.00027715614966587006
2,blur_ksize,7,7,3.0,20.0,15,0.0143,3375,0.9961481481481481,4.71333639694116,0.000292065295576988
2,blur_ksize,15,15,3.0,20.0,15,0.0264,2862,0.9958071278825996,3.692933408105967,0.0003401661850504822
2,blur_ksize,21,21,3.0,20.0,15,0.0268,2882,0.9961832061068703,3.720257780872645,0.00033767508021735544
2,blur_sigma,1.5,15,1.5,20.0,15,0.0026,3922,0.9969403365629781,5.893122673147664,0.00025431717473424335
2,blur_sigma,3.0,15,3.0,20.0,15,0.0264,2862,0.9958071278825996,3.692933408105967,0.0003401661850504822
2,blur_sigma,5.0,15,5.0,20.0,15,0.0353,2647,0.9954665659236872,3.5518321574218388,0.00036444842195536113
2,diff_thresh,10.0,15,3.0,10.0,15,0.0571,2472,0.9951456310679612,2.263090776943323,0.00038143036331125807
2,diff_thresh,20.0,15,3.0,20.0,15,0.0264,2862,0.9958071278825996,3.692933408105967,0.0003401661850504822
2,diff_thresh,30.0,15,3.0,30.0,15,0.0109,3582,0.9966499162479062,5.065215295003698,0.0002761300852554784
2,expand_radius,8,15,3.0,20.0,8,0.0293,2856,0.9961484593837535,2.8933628842180616,0.000339889762550548
2,expand_radius,15,15,3.0,20.0,15,0.0264,2862,0.9958071278825996,3.692933408105967,0.0003401661850504822
2,expand_radius,25,15,3.0,20.0,25,0.018,3421,0.9961999415375621,4.875121871946893,0.00028705320580041
3,blur_ksize,7,7,3.0,20.0,15,0.0054,3424,0.9959112149532711,3.0946845057455077,0.0002904757924910141
3,blur_ksize,15,15,3.0,20.0,15,0.011,3076,0.9957737321196359,2.524613734643438,0.00032151738681202724
3,blur_ksize,21,21,3.0,20.0,15,0.0113,3062,0.995754408883083,2.5218843402937106,0.0003229054402091656
3,blur_sigma,1.5,15,1.5,20.0,15,0.001,3726,0.9957058507783145,3.9557314206344674,0.0002681106321395851
3,blur_sigma,3.0,15,3.0,20.0,15,0.011,3076,0.9957737321196359,2.524613734643438,0.00032151738681202724
3,blur_sigma,5.0,15,5.0,20.0,15,0.0172,2950,0.995593220338983,1.8797862013405344,0.00033313633218457985
3,diff_thresh,10.0,15,3.0,10.0,15,0.0252,2463,0.9955339017458384,1.7764211077202032,0.000395793669146545
3,diff_thresh,20.0,15,3.0,20.0,15,0.011,3076,0.9957737321196359,2.524613734643438,0.00032151738681202724
3,diff_thresh,30.0,15,3.0,30.0,15,0.0052,3414,0.9958992384299942,3.097556093673031,0.0002913842425123351
3,expand_radius,8,15,3.0,20.0,8,0.0128,3052,0.995740498034076,1.9326635359571567,0.0003234759652005395
3,expand_radius,15,15,3.0,20.0,15,0.011,3076,0.9957737321196359,2.524613734643438,0.00032151738681202724
3,expand_radius,25,15,3.0,20.0,25,0.0039,3562,0.99606962380685,3.7162822153098296,0.0002796528163986959
