panel,param_name,param_val,felz_scale,felz_sigma,felz_min_size,n_init,n_final,n_labels,fragment_ratio,color_purity,mean_label_size
1,felz_scale,300.0,300.0,0.5,30,8115,8115,8115,0.9986444855206408,1.991391499914636,0.00012322858903265557
1,felz_scale,600.0,600.0,0.5,30,4914,4914,4914,0.9971509971509972,2.2772582646609996,0.0002035002035002035
1,felz_sigma,0.3,300.0,0.3,30,16237,16237,16237,1.0,1.2838661148528367,6.158773172384061e-05
1,felz_sigma,0.5,300.0,0.5,30,8115,8115,8115,0.9986444855206408,1.991391499914636,0.00012322858903265557
1,felz_sigma,0.8,300.0,0.8,30,4601,4601,4601,0.9982612475548793,2.8155809786987973,0.00021734405564007822
1,felz_min_size,10,300.0,0.5,10,9039,9039,9039,0.9987830512224803,2.300724872831967,0.00011063170704723973
1,felz_min_size,30,300.0,0.5,30,8115,8115,8115,0.9986444855206408,1.991391499914636,0.00012322858903265557
1,felz_min_size,50,300.0,0.5,50,4622,4622,4622,0.99762007788836,3.096463460002321,0.00021635655560363478
2,felz_scale,300.0,300.0,0.5,30,8908,8908,8908,0.9989896722047598,3.0038397505427374,0.0001122586439155815
2,felz_scale,600.0,600.0,0.5,30,5039,5039,5039,0.9970232188926375,3.477191179057518,0.00019845207382417147
2,felz_sigma,0.3,300.0,0.3,30,16817,16817,16817,1.0,1.9050522916518609,5.9463637985371946e-05
2,felz_sigma,0.5,300.0,0.5,30,8908,8908,8908,0.9989896722047598,3.0038397505427374,0.0001122586439155815
2,felz_sigma,0.8,300.0,0.8,30,4369,4369,4369,0.9977111467154955,4.597764518412406,0.00022888532845044633
2,felz_min_size,10,300.0,0.5,10,9938,9938,9938,0.9990943851881666,3.2827985215336644,0.00010062386798148522
2,felz_min_size,30,300.0,0.5,30,8908,8908,8908,0.9989896722047598,3.0038397505427374,0.0001122586439155815
2,felz_min_size,50,300.0,0.5,50,5265,5265,5265,0.9979107312440646,4.396166365446262,0.0001899335232668566
3,felz_scale,300.0,300.0,0.5,30,7694,7694,7694,0.9987002859370938,2.225927000561006,0.00012997140629061605
3,felz_scale,600.0,600.0,0.5,30,5000,5000,5000,0.9964,2.406884083557144,0.00019999999999999998
3,felz_sigma,0.3,300.0,0.3,30,15588,15588,15588,1.0,1.4198817746297858,6.415191172696946e-05
3,felz_sigma,0.5,300.0,0.5,30,7694,7694,7694,0.9987002859370938,2.225927000561006,0.00012997140629061605
3,felz_sigma,0.8,300.0,0.8,30,4211,4211,4211,0.9976252671574448,3.469328300023596,0.00023747328425552128
3,felz_min_size,10,300.0,0.5,10,8768,8768,8768,0.9988594890510949,2.5130040180531057,0.00011405109489051096
3,felz_min_size,30,300.0,0.5,30,7694,7694,7694,0.9987002859370938,2.225927000561006,0.00012997140629061605
3,felz_min_size,50,300.0,0.5,50,4549,4549,4549,0.9978017146625632,3.308306094302034,0.00021982853374367993
